Number_Of_Cluster_Members,Diamond_Best_Hit,Diamond_Aggregate_95_90,Minimum_Set_Cover
226,7,13,1
290,2,2,1
162,1,1,1
155,2,4,1
143,1,5,1
184,2,4,1
121,2,2,1
1495,4,4,2
354,3,17,1
247,5,6,5
2102,25,30,4
1507,5,5,2
1387,4,11,1
1291,3,16,1
130,1,1,1
1364,6,6,2
1312,7,7,1
296,2,22,1
1553,6,6,2
2110,4,7,2
102,1,1,1
1251,3,6,1
495,3,7,1
124,2,2,1
514,3,3,1
500,3,34,1
1263,6,6,2
272,6,10,1
232,10,32,2
1437,1,1,1
1430,3,4,2
1261,6,6,2
202,4,6,1
258,7,9,1
109,11,14,1
258,2,4,1
1282,5,6,3
128,4,5,1
2407,31,32,2
105,1,1,1
1303,21,60,4
108,3,3,1
195,26,39,2
110,2,27,1
1256,2,7,1
1260,8,19,1
1351,1,1,1
1460,3,4,1
115,8,8,1
120,1,1,1
685,1,3,1
184,2,2,1
1425,10,11,4
126,1,1,1
180,2,2,1
1429,4,7,1
1251,20,49,3
117,2,13,1
138,1,13,1
166,1,3,1
1681,4,15,1
220,3,7,1
1377,6,6,1
1383,4,9,1
1656,21,26,2
201,3,5,2
141,1,1,1
202,5,9,2
1384,16,23,1
166,1,1,1
112,3,3,2
167,1,1,1
1525,4,4,2
119,1,1,1
1315,3,19,1
1368,3,9,1
150,1,4,1
160,1,1,1
1291,2,6,1
1573,27,32,4
1435,3,13,1
1303,2,2,2
1780,6,9,2
181,1,1,1
122,2,2,1
136,1,1,1
245,1,1,1
352,6,26,1
466,1,2,1
124,2,3,1
138,3,3,1
118,1,7,1
334,6,6,1
1390,1,1,1
1301,3,4,2
148,2,4,1
100,2,5,1
276,2,2,1
1448,5,6,2
137,3,24,1
1348,3,37,1
113,1,1,1
478,6,6,1
116,2,2,1
1438,7,9,1
166,1,1,1
359,5,10,1
336,2,2,1
1299,6,8,1
1545,7,9,1
1515,4,4,3
1273,3,3,1
418,51,85,9
207,1,1,1
1589,8,13,1
170,2,2,1
1348,6,6,1
1449,5,6,1
1350,5,17,1
1846,44,50,8
1323,1,3,1
288,13,14,1
122,2,6,1
1361,13,22,1
1387,5,53,1
1316,28,28,2
371,1,4,1
1443,28,28,3
1313,11,48,3
144,3,3,1
1310,13,18,1
168,3,8,1
353,2,2,1
206,2,2,1
1433,1,7,1
1469,3,5,2
201,3,24,1
1668,10,10,1
138,1,15,1
365,3,3,1
1255,8,8,1
1356,3,5,1
1431,4,20,1
416,2,2,2
450,3,7,1
1950,49,108,4
1277,11,14,2
1561,9,9,2
1356,3,15,1
1502,7,41,2
183,4,4,3
109,4,6,1
130,2,2,1
1406,6,6,1
120,1,1,1
221,1,1,1
133,1,1,1
141,2,7,1
235,6,6,1
164,1,3,1
116,1,1,1
211,2,4,1
125,2,4,1
183,1,1,1
113,2,2,2
117,1,4,1
1508,10,12,2
1269,4,5,1
100,1,1,1
281,4,9,2
1337,4,6,1
1419,3,5,1
1336,5,11,1
162,1,1,1
1255,9,12,2
112,1,1,1
1261,9,9,2
345,5,5,1
155,1,1,1
270,2,2,1
210,7,28,1
1965,37,49,6
1311,18,19,1
1360,22,23,7
1462,4,5,1
393,3,3,1
195,1,2,1
793,3,8,1
143,6,19,1
1720,4,5,1
1398,6,6,1
322,1,1,1
220,1,1,1
1257,18,53,2
1594,4,7,1
1309,6,8,3
180,3,3,1
147,1,1,1
1298,15,16,6
1571,5,6,1
137,1,1,1
1854,2,2,2
2091,7,8,2
1254,3,57,1
1324,7,7,1
179,2,3,1
277,1,1,1
207,2,2,1
105,2,2,1
1395,10,11,1
1253,6,6,1
1340,2,22,1
138,2,4,1
1754,5,6,1
127,2,5,1
1295,11,13,1
208,3,4,2
108,4,4,1
1325,4,12,1
101,2,3,1
1318,5,9,1
230,1,2,1
129,1,1,1
1970,10,11,2
1261,6,6,1
153,2,2,1
107,1,2,1
103,1,1,1
429,11,14,1
1319,4,18,2
155,1,2,1
1699,6,8,1
269,2,3,1
1994,11,11,6
559,3,26,2
316,1,10,1
